vn/vt id ( ) { } int float char void number ch * / + - [ ] = , ; string while > < == >= <= if else return cout cin # 
funcdef 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
type 0 0 0 0 0 2 3 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
factor 7 6 0 0 0 0 0 0 0 8 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
exp 10 10 0 0 0 0 0 0 0 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
divi 11 11 0 0 0 0 0 0 0 11 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
faccycle 0 0 14 0 0 0 0 0 0 0 0 12 13 14 14 0 0 0 14 14 0 0 14 14 14 14 14 0 0 0 0 0 0 
item 0 0 17 0 0 0 0 0 0 0 0 0 0 15 16 0 0 0 17 17 0 0 17 17 17 17 17 0 0 0 0 0 0 
parastate 18 0 19 0 0 18 18 18 18 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 
state 21 0 0 0 0 20 20 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
idol 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 22 0 23 23 23 0 0 0 0 0 0 0 0 0 0 0 0 0 
mathol 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 24 0 25 25 25 0 0 0 0 0 0 0 0 0 0 0 0 0 
init 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 27 27 0 0 0 0 0 0 0 0 0 0 0 0 0 
rvalue 28 28 0 29 0 0 0 0 0 28 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
numberol 0 0 0 0 31 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
douhaobibao 0 0 0 0 33 0 0 0 0 33 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
stateclo 0 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 35 0 0 0 0 0 0 0 0 0 0 0 0 0 
funcblock 36 0 0 0 0 36 36 36 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
staclo 38 0 0 0 38 37 37 37 37 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 38 0 38 38 38 0 
statement 39 0 0 0 0 39 39 39 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
funcbloclo 40 0 0 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 0 0 0 0 0 42 0 43 44 45 0 
opera 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
callstate 0 49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
paralist 50 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 
paraclo 0 0 52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
para 53 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 55 0 0 0 0 0 0 0 0 0 0 0 0 
whilecycle 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56 0 0 0 0 0 0 0 0 0 0 0 
logicexp 57 57 0 0 0 0 0 0 0 57 57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
logicopera 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 58 59 60 61 62 0 0 0 0 0 0 
condistate 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 63 0 0 0 0 0 
nor 65 0 0 0 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65 0 0 0 0 0 65 64 65 65 65 0 
funcend 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 66 0 0 0 
coutstate 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 67 0 0 
cinstate 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 68 0 
do 0 0 0 69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
we 70 0 0 0 70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70 0 0 0 0 0 70 0 70 70 70 0 
ie 71 0 0 0 71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 71 0 0 0 0 0 71 0 71 71 71 0 
